year,KY_ARG,KY_USA
1950,1.863216,3.937547
1951,1.93169,3.758664
1952,2.189954,3.729208
1953,2.241113,3.688182
1954,2.29279,3.828837
1955,2.277071,3.699344
1956,2.329226,3.743243
1957,2.364442,3.78187
1958,2.344101,3.914689
1959,2.56802,3.786533
1960,2.497414,3.810353
1961,2.602121,3.834575
1962,2.723589,3.739891
1963,2.910965,3.715327
1964,2.834219,3.650024
1965,2.718539,3.569845
1966,2.818045,3.492878
1967,2.848465,3.531443
1968,2.82572,3.495647
1969,2.742361,3.513927
1970,2.804563,3.614246
1971,2.858463,3.621105
1972,2.948491,3.570532
1973,2.95849,3.515155
1974,2.921649,3.650267
1975,3.051897,3.746615
1976,3.186073,3.654468
1977,3.165982,3.608212
1978,3.400305,3.548444
1979,3.310561,3.571261
1980,3.401192,3.690393
1981,3.694879,3.703242
1982,3.869123,3.855823
1983,3.770368,3.779747
1984,3.742414,3.641524
1985,4.045672,3.617285
1986,3.816075,3.612978
1987,3.783085,3.601785
1988,3.913916,3.561028
1989,4.226551,3.535045
1990,4.279978,3.560179
1991,3.908722,3.637405
1992,3.621471,3.58917
1993,3.506055,3.573031
1994,3.425358,3.519944
1995,3.604585,3.516311
1996,3.50308,3.484094
1997,3.349418,3.435681
1998,3.338083,3.396432
1999,3.535942,3.353953
2000,3.627911,3.335808
2001,3.830026,3.40453
2002,4.266481,3.434194
2003,3.937839,3.429837
2004,3.681493,3.397108
2005,3.470433,3.381635
2006,3.314874,3.384584
2007,3.167042,3.40156
2008,3.172086,3.464452
2009,3.442683,3.591297
2010,3.231316,3.532848
2011,3.172022,3.518755
2012,3.303619,3.488372
2013,3.32212,3.466342
2014,3.487869,3.436504
2015,3.476801,3.395402
2016,3.61862,3.391588
2017,3.607116,3.369254
2018,3.77864,3.334312
2019,3.896196,3.310961
2020,4.343026,3.438779
2021,4.007786,3.300456
2022,3.900365,3.274416
2023,4.051673,3.235874
