ρ,δ,pref,ok,time,dτ_t0,dτ_t0p1,dι_t0,ds_t0,maxdτ
0.8,-0.2,CRRA,True,25.982130765914917,-0.03672910142357701,-0.03395113039500208,-0.019848601068245764,-0.0031112239271859528,0.037558843787801555
0.9,-0.1,CRRA,True,26.105690956115723,-0.018547332796969587,-0.016985810596018752,-0.01026597184157163,-0.0014031585860430872,0.018855881880793027
0.95,-0.05,CRRA,True,26.188517332077026,-0.009264402991495155,-0.008450168534955727,-0.005191297039704945,-0.000672689814020272,0.009561818303102446
0.98,-0.02,CRRA,True,26.043824434280396,-0.0036883186109388094,-0.0033634979093961626,-0.002082371157460461,-0.00026143055405892027,0.004024882671822438
0.99,-0.01,CRRA,True,26.27206563949585,-0.0018386614183272532,-0.0016750706636100565,-0.001040642904579947,-0.00013063572101755516,0.001951264275568354
0.995,-0.005,CRRA,True,27.07888627052307,-0.0009106527260169944,-0.0008258085880833987,-0.0005159916635703587,-6.56114730831249e-05,0.000969742262340742
0.998,-0.002,CRRA,True,27.478086471557617,-0.000354258302889765,-0.00031767655241277115,-0.00020083856986607973,-2.6595228929282566e-05,0.0003973159767582529
1.002,0.002,CRRA,True,26.2090003490448,0.0003857388061475342,0.0003590050505649922,0.0002190837793591971,2.5503776515528598e-05,0.0003891316187252525
1.005,0.005,CRRA,True,26.304588794708252,0.0009408617225779847,0.0008642444462798327,0.0005345597356142817,6.457235460340799e-05,0.0009517744566140685
1.01,0.01,CRRA,True,26.125301599502563,0.0018667255919483094,0.001707826516933103,0.0010617954442640465,0.00012927883055093708,0.0018907742075229134
1.02,0.02,CRRA,True,26.304542779922485,0.0037180094719812817,0.003399855434721627,0.0021201176677966838,0.0002566343850857536,0.003774523705782684
1.05,0.05,CRRA,True,26.289968252182007,0.00926925486050953,0.008435068645440053,0.005323658679318277,0.0006250949074419684,0.00941108264232382
1.1,0.1,CRRA,True,26.23974919319153,0.01846185893388952,0.016727693694228413,0.010731575056315945,0.001205473853242215,0.018666470365710397
1.2,0.2,CRRA,True,27.0239360332489,0.03633349686286941,0.03274407863634285,0.02162089929555172,0.0022564708682944364,0.03682723980788448
