ρ,preferences,requested,residual,verifyResidual,hoursDrift,β,ω,λ,X,R,τ,sr,h,hbar,nfev,time,n,ns,smoothKnots,interpKind,x0,commit,timestamp
0.5,CRRA,True,8.604228440844963e-16,0.00036659775508354753,0.0006225385227943692,1.43536203905434,2.2721449034386056,0.8835114025761719,,1.9430216478479287,0.2127550253399293,0.14657355597088068,0.605211996494145,0.33830396343770563,8,39.77743124961853,101,150,4,linear,0.8207242767471011,84ef022,2026-08-22T21:07:05
0.6,CRRA,True,7.771561172376096e-16,0.0004388507777736139,0.0003192268372671503,1.161173696055734,1.9220310926543607,0.886065582793753,,1.9802923225304652,0.21294390689240045,0.143262219783831,0.604920929554076,0.3381412616075677,8,36.54351258277893,101,150,4,linear,0.6533824876567723,84ef022,2026-08-22T21:06:18
0.7,CRRA,True,3.3306690738754696e-16,0.00024669046971725894,3.148776154771049e-05,0.9973561779560672,1.7116278168786963,0.8883657103202484,,2.012117278490469,0.21286731633148093,0.14050715768229374,0.6047961167098085,0.3380714931955927,8,71.53590679168701,101,150,4,linear,0.5374448574024616,84ef022,2026-08-22T21:05:28
0.8,CRRA,True,4.996003610813204e-16,0.0001081787640743459,0.00025432302522621075,0.8902838883438597,1.5736702204407702,0.8903557650284439,,2.0402447779739967,0.2127609734773836,0.13818551120599615,0.604684584460862,0.338009148427002,8,60.581042766571045,101,150,4,linear,0.4534106111697685,84ef022,2026-08-22T21:04:00
0.9,CRRA,True,3.1086244689504383e-15,2.22495373766729e-06,5.868172007472694e-05,0.8152039468106761,1.478824209446943,0.8920959435024438,,2.0664958085910103,0.21287739876692527,0.13610845704233945,0.6045006213249884,0.33790631593466375,8,22.81117606163025,101,150,4,linear,0.3912473189545478,84ef022,2026-08-22T21:02:43
1.0,LOG,True,8.326672684688674e-17,2.7755575615628914e-17,2.220446049250313e-16,0.7606187875474913,1.418057102915061,0.8934251358732774,,2.0865364110014593,0.21285714285714277,0.1343552147021758,0.604395751755248,0.3378476954986964,9,0.8151040077209473,101,50,4,linear,0.3492876973379495,84ef022,2026-08-22T20:57:36
1.1,CRRA,True,5.551115123125783e-16,0.00020519022000603515,6.7791822755403075e-06,0.7177450490229655,1.3576985937553299,0.8949242908492117,,2.1091153224152617,0.21286029376880838,0.13283628930795408,0.604258095411184,0.33777074777284344,8,20.167304515838623,101,150,4,linear,0.30579105586848354,84ef022,2026-08-22T20:58:01
1.2,CRRA,True,1.6653345369377348e-16,8.718735537177613e-05,1.6074509685104488e-05,0.6844206255047696,1.3167935227415313,0.896095690444283,,2.127203651963935,0.21286501707818076,0.13149197805844362,0.6041461098041382,0.3377081495842236,8,23.441332578659058,101,150,4,linear,0.27519963198987896,84ef022,2026-08-22T20:58:30
1.3,CRRA,True,8.326672684688674e-17,0.0003099360226881398,3.320505918003036e-07,0.6575018033009336,1.2847249951483923,0.8971385553923037,,2.1435188330453836,0.21285681080655114,0.13030337967597033,0.604044907666451,0.33765157918494815,8,23.802488327026367,101,150,4,linear,0.25054468388577056,84ef022,2026-08-22T20:59:00
1.4,CRRA,True,6.661338147750939e-16,0.00021263218857420219,3.1611330523872994e-05,0.6353015285384516,1.2580804773329868,0.8980691385359607,,2.158188612317056,0.21283841364421494,0.12924302914136898,0.6039535889475466,0.33760053346093677,7,22.339038133621216,101,150,4,linear,0.22958712867485515,84ef022,2026-08-22T20:59:28
1.5,CRRA,True,1.5543122344752192e-15,0.0002353458390179919,3.9133856253315e-06,0.6167825598208341,1.2362957389840052,0.8988981992096449,,2.1715299528310132,0.2128565061143713,0.12829806328695384,0.6038580346826427,0.337547120133495,7,22.59791851043701,101,150,4,linear,0.21211960143741118,84ef022,2026-08-22T20:59:57
1.6,CRRA,True,5.551115123125783e-17,0.00027183423149620967,7.44645114192366e-06,0.6009953775826335,1.2182120101170806,0.8996533662389776,,2.18384714144711,0.2128619757428195,0.12743993354997823,0.6037682985149575,0.3374969590306625,7,20.868571519851685,101,150,4,linear,0.19738421827583547,84ef022,2026-08-22T21:00:22
1.7,CRRA,True,7.216449660063518e-16,0.00023368335015555575,1.8167775266419994e-06,0.5874857094242004,1.2027311775320932,0.9003283410621827,,2.1948631302401806,0.2128556663603705,0.12667464545028848,0.6036901820798177,0.33745329317511025,7,17.018458366394043,101,150,4,linear,0.18459495194854666,84ef022,2026-08-22T21:00:44
1.8,CRRA,True,9.71445146547012e-16,0.0002368000754232047,4.939032344497551e-07,0.5757320616470784,1.1894236719696376,0.9009448674423179,,2.2050584321160898,0.21285664895390743,0.1259745166721557,0.60361309141565,0.33741020070935773,7,24.307247161865234,101,150,4,linear,0.17346888053861223,84ef022,2026-08-22T21:01:15
1.9,CRRA,True,1.4432899320127035e-15,0.0002752247480533043,1.7266625027545501e-06,0.565434467036848,1.177977859401025,0.9015098084909194,,2.214476921577404,0.2128562578181801,0.12533676498705174,0.6035405875604328,0.3373696721974865,7,29.10496711730957,101,150,4,linear,0.16379928997723484,84ef022,2026-08-22T21:01:50
2.0,CRRA,True,2.220446049250313e-16,0.00028374806058784063,2.9471946414449945e-06,0.5563256288283516,1.1679577401804218,0.9020271915000801,,2.2232008330577524,0.21285850052436192,0.1247487717843574,0.6034704224086214,0.3373304509839439,7,17.01448082923889,101,150,4,linear,0.15525670239909584,84ef022,2026-08-22T21:02:11
