s0,β,ω,η0,X0,sr,τ,ι,s,s_,h,R30,Rann,KY,residual,time
0.184,1.2119677990519497,2.641367912237244,0.3255498727336501,0.4081379149082694,0.18399999999996666,0.12500000000014766,0.3618119966527443,0.021207150973357753,0.022681707626903035,0.5264552726368169,3.2207016190396116,1.039756593446708,4.005338440462759,1.5010215292932116e-13,8.031952619552612
0.17,1.0401286510132,2.507189532082639,0.32575247693756476,0.41036629823011866,0.17000000000000065,0.12499999999998469,0.36285630699200405,0.01815574939766826,0.019478221980157057,0.5166274543071252,3.475183021486337,1.0423956476704077,3.712034710184175,1.5307199952019346e-14,11.865955591201782
0.1636,0.9694589355988278,2.4523446476250923,0.32584592387108724,0.4113977197120821,0.16360000000025282,0.12499999999952234,0.363395617351538,0.016837683452216114,0.018089818930634192,0.5119391108513323,3.6060069202017346,1.043680458241359,3.577364183005595,5.062616992290714e-13,8.673687219619751
0.16,0.931631594030451,2.423102845526031,0.32589868352226514,0.41198106850497307,0.1599999999893308,0.1250000000207203,0.363716911222778,0.0161173730935922,0.017329636163462992,0.5092422524630233,3.684228572678832,1.0444273088368152,3.5014114204701223,2.1770696356782082e-11,7.998953580856323
0.15,0.8331507869193214,2.347350962675247,0.32604600243902176,0.41361381376665673,0.15000000000015415,0.12499999999976165,0.36467980051450644,0.0141968232285696,0.015297956684087871,0.5015105706264631,3.921283331288836,1.0466005069723536,3.2897393302513707,2.5268676040468563e-13,8.238839387893677
0.1472,0.8071834364522313,2.327484339434251,0.3260874602092095,0.4140743251535163,0.14719999999597996,0.125000000006403,0.3649685948709541,0.013680386014149778,0.014750504416166673,0.4992790323181228,3.993423822905468,1.0472366839019847,3.2303107739299346,6.723732681734873e-12,7.566421985626221
0.14,0.7433533124517541,2.27887339305961,0.3261944901915948,0.41526531059151506,0.14000000000013835,0.12499999999983354,0.3657515410674525,0.012395326285320675,0.013386060440185062,0.4933956723286078,4.192169949235868,1.0489335166651164,3.077165323975322,1.765254609153999e-13,8.160385608673096
0.13,0.6611401424114933,2.2167731549971617,0.3263441023924333,0.41693521823837143,0.12999999999962494,0.1250000000006301,0.36694072545631284,0.0107133993032088,0.011595275786353137,0.4848479750510371,4.50468670334861,1.0514504705961085,2.863684169292093,6.480371794737039e-13,7.917177438735962
0.12,0.5855900229702423,2.160389644546871,0.32649480276606907,0.4186232818624079,0.11999999999631183,0.12500000000564246,0.36825793910939053,0.009151446738670684,0.009926687665488116,0.4758054147906394,4.869292768452879,1.0541818377415997,2.649255366934677,5.7627236316193375e-12,7.89333438873291
0.11,0.5159269447918473,2.109177913947543,0.32664653262838567,0.4203289902675,0.1099999999986199,0.1250000000021747,0.3697166399214024,0.00771003653862541,0.00838173562637466,0.46619259023890425,5.30019108366579,1.0571656683747475,2.4338745144029654,2.223221606811876e-12,7.776240348815918
0.105,0.48308986737531423,2.0853682895250008,0.32672281206132775,0.4211888272091398,0.10499999999999357,0.12500000000001474,0.3705037495668818,0.007034695539418428,0.007656038654547838,0.4611430793143598,5.546431119160534,1.0587671402355003,2.325819923272111,1.532107773982716e-14,8.045630931854248
