spec,phi,country,wedgeFrom,p,θStar,choice,ω,τ,converged
scale,0.5,FR,US,0.40220346129051066,1.0,1.0,1.4180571029150606,0.21285714285714258,
scale,0.5,FR,own,,,,1.418057102915061,,False
scale,0.5,UK,US,0.40220346129051066,0.5597455420580432,1.0,1.282918179168855,0.11857142857142856,
scale,0.5,UK,own,0.18635469639823543,0.5597455420580429,0.5597471248660999,1.2187867163041903,,True
scale,0.5,UKUS,US,0.40220346129051066,0.5427032212458482,1.0,1.3605963696876913,0.11857142857142867,
scale,0.5,UKUS,own,,,,2.0754548741571113,,False
scale,0.25,FR,US,0.2569308699035509,1.0,0.9691687281624224,1.4180571029150608,0.21285714285714274,
scale,0.25,FR,own,,,,1.418057102915061,,False
scale,0.25,UK,US,0.2569308699035509,0.5597455420580427,1.0,1.2826654653549017,0.11857142857142866,
scale,0.25,UK,own,0.11967908829194301,0.5597455420580426,0.559743479893433,1.2177282284587903,,True
scale,0.25,UKUS,US,0.2569308699035509,0.5427032212458482,1.0,1.3606298888655246,0.11857142857142865,
scale,0.25,UKUS,own,,,,3.4691666365368996,,False
scale,0.75,FR,US,0.9424124161123592,1.0,1.0,1.4180571029150606,0.2128571428571427,
scale,0.75,FR,own,,,,1.4180571029150613,,False
scale,0.75,UK,US,0.9424124161123592,0.559745542058043,1.0,1.2845135781323407,0.1185714285714286,
scale,0.75,UK,own,0.4262423375456513,0.5597455420580428,0.5597463768295028,1.2228288745922409,,True
scale,0.75,UKUS,US,0.9424124161123592,0.542703221245849,1.0,1.3612886133610593,0.11857142857142851,
scale,0.75,UKUS,own,0.10008069234790268,0.5427032212458479,0.5427028394600465,1.242631668771481,,True
flat,0.5,UK,US,0.7021897718662036,0.5075241298690577,0.7972102583361055,1.2691569711183215,0.11857142857142865,
flat,0.5,UK,own,0.2186314673643614,0.543826682623596,0.5438266850861868,1.1934709014559952,,True
flat,0.5,UKUS,US,0.7021897718662036,0.4876370324313999,0.9287458132564833,1.3501812789758538,0.11857142857142867,
flat,0.5,UKUS,own,0.06043153324741796,0.5380960424693402,0.5380937487769767,1.235571040339002,,True
flat,0.25,UK,US,0.4383914458124193,0.5062689326081528,0.7948062775490145,1.271989107987093,0.11857142857142854,
flat,0.25,UK,own,0.14041709239240657,0.5440657823107288,0.5440659058515129,1.1930092471802658,,True
flat,0.25,UKUS,US,0.4383914458124193,0.48596064055453336,0.927283953070805,1.3544452436013474,0.11857142857142859,
flat,0.25,UKUS,own,,,,2.8592091271209603,,False
flat,0.75,UK,US,1.8540003178933553,0.5110302433941283,0.8097333647088996,1.2613276564822569,0.11857142857159794,
flat,0.75,UK,own,0.49888904260668504,0.5429468380638118,0.5429468169399412,1.195173560286095,,True
flat,0.75,UKUS,US,1.8540003178933553,0.4923418217967258,0.9482864361238597,1.3383874560779323,0.11857142857142865,
flat,0.75,UKUS,own,0.12469402879507142,0.538041551935963,0.5380415543809903,1.2356820016126229,,True
