spec,phi,commonX,p,source,θStar,θPerm,atBound,nTurning,converged,θPermIncumbent,θPermMovingSi,θLeaded,τAtChoice
none,,True,,none,0.7382263650417815,0.0,True,0,True,0.0,0.0,0.0,0.18515792181806381
scale,0.25,True,0.24028039226178427,permanent,0.7382263650417814,0.7382262361484786,False,1,True,0.7382262414080127,0.8571287204522355,0.6981525981011274,0.14428466916980498
none,,True,,none,0.7382263650417815,0.0,True,0,True,0.0,0.0,0.0,0.18515792181806381
scale,0.5,True,0.3750322662759427,permanent,0.7382263650417814,0.7382262532492765,False,1,True,0.7382262582764623,0.8694374430923137,0.6961186909638212,0.14428476395513545
none,,True,,none,0.7382263650417815,0.0,True,0,True,0.0,0.0,0.0,0.18515792181806381
scale,0.75,True,0.8669257729534874,permanent,0.7382263650417816,0.7382262502825752,False,1,True,0.7382262585174119,0.944311540395939,0.6535059057075573,0.14428511190190185
none,,True,,none,0.7382263650417815,0.0,True,0,True,0.0,0.0,0.0,0.18515792181806381
flat,0.25,True,0.41727160733581237,permanent,0.7180803567203818,0.7180803567488718,False,1,True,0.7180803567488718,0.7573076402759462,0.7009540125647344,0.14428430944774362
none,,True,,none,0.7382263650417815,0.0,True,0,True,0.0,0.0,0.0,0.18515792181806381
flat,0.5,True,0.6644418539127408,permanent,0.7176004664471394,0.7176004707536046,False,1,True,0.7176004706942206,0.7589569858030878,0.7002489346863803,0.144284779735394
none,,True,,none,0.7382263650417815,0.0,True,0,True,0.0,0.0,0.0,0.18515792181806381
flat,0.75,True,1.6950401204622392,permanent,0.7154874800291651,0.7154874802012222,False,1,True,0.7154874802012222,0.7677229092696611,0.6964926766574323,0.1442848575306881
