ρ,commonX,pos,date,τ,focMax,θAtMax,focMin,negative
0.5,True,1,1990,0.13077854328033045,-1.1484074106422284,0.0,-1.914019777331551,True
0.5,True,2,2020,0.14428571428571474,-1.2065452669009213,0.0,-2.091480925628622,True
0.5,True,3,2050,0.20006129480231905,-1.4063096411189355,0.0,-2.819832870895371,True
0.5,True,4,2080,0.21604104267991828,-1.4713493127090072,0.0,-3.063182124998735,True
0.5,True,5,2110,0.21649565160321038,-1.4870780685809748,0.0,-3.0992112140422794,True
0.5,True,6,2140,0.21691237888610604,-1.4948237864464786,0.0,-3.1183599660314085,True
0.5,True,7,2170,0.2193732232704083,-1.4939265441717238,0.0,-3.134110483252834,True
2.0,True,1,1990,0.13045323767792022,-0.0019088875306660334,0.0,-0.005091475575590369,True
2.0,True,2,2020,0.1442857142857144,-0.0018311674005060258,0.0,-0.0054983983696759095,True
2.0,True,3,2050,0.19088176752436087,-0.0014060835816390518,0.0,-0.006633719157714567,True
2.0,True,4,2080,0.20297918633941703,-0.0012601550509304046,0.0,-0.006842358752799815,True
2.0,True,5,2110,0.20288616170602422,-0.0012550687641906151,0.0,-0.006819382142328134,True
2.0,True,6,2140,0.20286984536653763,-0.001253802790430844,0.0,-0.006814193965838454,True
2.0,True,7,2170,0.20345645417060756,-0.0012485188857187385,0.0,-0.006837104048930297,True
