spec,phi,p,axis,value,ν,θData,θChoice,τ,τAtChoice,ηRatio
scale,0.5,0.4022034612905106,nu,0.95,0.95,0.7382263650417816,0.7801064866488002,0.2478313188817138,0.24714595415620805,3.7329507020037838
scale,0.5,0.4022034612905106,nu,1.0,1.0,0.7382263650417816,0.7747382521122356,0.23252259315922222,0.23195132487882342,3.732950702003784
scale,0.5,0.4022034612905106,nu,1.05,1.05,0.7382263650417816,0.7706337511247326,0.21788465837231122,0.21739868199425916,3.7329507020037846
scale,0.5,0.4022034612905106,nu,1.1,1.1,0.7382263650417816,0.7541211118645035,0.2038744624659556,0.20365795647325274,3.7329507020037855
scale,0.5,0.4022034612905106,nu,1.15,1.15,0.7382263650417815,0.7511051736418846,0.19045256019622614,0.1902847070132002,3.7329507020037846
scale,0.5,0.4022034612905106,nu,1.2,1.2,0.7382263650417816,0.7484995184318075,0.1775827431641664,0.17745461398146548,3.7329507020037838
scale,0.5,0.4022034612905106,nu,1.25,1.25,0.7382263650417816,0.7462386998145863,0.16523171447305862,0.16513608160559412,3.732950702003783
scale,0.5,0.4022034612905106,nu,1.3,1.3,0.7382263650417816,0.7357156285694278,0.15336880185353757,0.15339622411663617,3.7329507020037846
scale,0.5,0.4022034612905106,nu,1.35,1.35,0.7382263650417814,0.7283089523475232,0.14196570405268455,0.14206583949957247,3.732950702003785
scale,0.5,0.4022034612905106,nu,1.4,1.4,0.7382263650417816,0.7266661043316698,0.1309962660725171,0.131107452078588,3.732950702003785
scale,0.5,0.4022034612905106,nu,1.4500000000000002,1.4500000000000002,0.7382263650417815,0.725201919613502,0.12043627950040357,0.12055555150035185,3.732950702003785
scale,0.5,0.4022034612905106,nu,1.5,1.5,0.7382263650417816,0.7238894453093172,0.11026330472301969,0.11038824475380091,3.732950702003785
scale,0.5,0.4022034612905106,nu,1.55,1.55,0.7382263650417816,0.7227057698043134,0.100456512275894,0.10058514649232422,3.7329507020037838
scale,0.5,0.4022034612905106,inequality,0.5,1.339667762739423,0.11278162103642884,1.0,0.036519480705081715,0.13777555492120494,1.9770113255477337
scale,0.5,0.4022034612905106,inequality,0.6,1.339667762739423,0.3384359369326271,1.0,0.09185876448714753,0.13777555492120494,2.2432841635923984
scale,0.5,0.4022034612905106,inequality,0.7,1.339667762739423,0.48853633556926035,1.0,0.11418440378194201,0.13777555492120486,2.543819682777392
scale,0.5,0.4022034612905106,inequality,0.8,1.339667762739423,0.5956589361414528,1.0,0.12771743190195653,0.13777555492120494,2.885685742115508
scale,0.5,0.4022034612905106,inequality,0.9,1.339667762739423,0.6759253941346817,0.9518805227175202,0.13717534145313648,0.13826444202538285,3.278037728191014
scale,0.5,0.4022034612905106,inequality,1.0,1.339667762739423,0.7382263650417816,0.7382264140356869,0.14428571428571516,0.14428571375865573,3.732950702003784
scale,0.5,0.4022034612905106,inequality,1.1,1.339667762739423,0.7878665104959044,0.5783481442324627,0.14986442569988956,0.15571624607276058,4.266684091137289
scale,0.5,0.4022034612905106,inequality,1.2000000000000002,1.339667762739423,0.8282067129354644,0.47191898122891535,0.15435859068249833,0.17174285691381674,4.901666114044309
scale,0.5,0.4022034612905106,inequality,1.3,1.339667762739423,0.8614794826404104,0.3826121012382197,0.15803900979050908,0.19206926834413524,5.669725874430119
scale,0.25,0.2569308699035509,nu,0.95,0.95,0.7382263650417817,0.7771649224959244,0.2477962814898409,0.24715789153010642,3.7329507020037855
scale,0.25,0.2569308699035509,nu,1.0,1.0,0.7382263650417816,0.7729434719521879,0.23249151596554304,0.23194563752974176,3.7329507020037846
scale,0.25,0.2569308699035509,nu,1.05,1.05,0.7382263650417814,0.764140468053122,0.21785776360767636,0.21747539540497715,3.7329507020037855
scale,0.25,0.2569308699035509,nu,1.1,1.1,0.7382263650417814,0.7531418699196174,0.20385193319200984,0.20364848808797256,3.732950702003784
scale,0.25,0.2569308699035509,nu,1.15,1.15,0.7382263650417814,0.750424425107011,0.1904345456310805,0.19027530592810019,3.7329507020037838
scale,0.25,0.2569308699035509,nu,1.2,1.2,0.7382263650417816,0.7480831125796933,0.1775693632563049,0.17744619599921613,3.7329507020037846
scale,0.25,0.2569308699035509,nu,1.25,1.25,0.7382263650417817,0.7460578071160283,0.16522306383845112,0.16512939036612337,3.7329507020037846
scale,0.25,0.2569308699035509,nu,1.3,1.3,0.7382263650417814,0.7361248794359143,0.15336495317178675,0.1533878996572159,3.732950702003785
scale,0.25,0.2569308699035509,nu,1.35,1.35,0.7382263650417814,0.7285814820622984,0.1419667110023454,0.14206350587635372,3.7329507020037846
scale,0.25,0.2569308699035509,nu,1.4,1.4,0.7382263650417817,0.7271123029565517,0.13100216587282024,0.13110837396865502,3.7329507020037838
scale,0.25,0.2569308699035509,nu,1.4500000000000002,1.4500000000000002,0.7382263650417816,0.7258061303481909,0.1204470951159692,0.1205600571492828,3.7329507020037846
scale,0.25,0.2569308699035509,nu,1.5,1.5,0.7382263650417814,0.7246384281645868,0.11027904677931945,0.11039659829056195,3.732950702003785
scale,0.25,0.2569308699035509,nu,1.55,1.55,0.7382263650417817,0.723588361627668,0.10047718072589104,0.10059755900801352,3.732950702003786
scale,0.25,0.2569308699035509,inequality,0.5,1.339667762739423,0.11278162103643094,1.0,0.02049269399940158,0.1374510929747999,1.9770113255477342
scale,0.25,0.2569308699035509,inequality,0.6,1.339667762739423,0.33843593693262536,1.0,0.08942161255039499,0.13745109297479993,2.2432841635923984
scale,0.25,0.2569308699035509,inequality,0.7,1.339667762739423,0.48853633556925924,1.0,0.11354962625626544,0.1374510929747999,2.543819682777392
scale,0.25,0.2569308699035509,inequality,0.8,1.339667762739423,0.5956589361414522,1.0,0.12755804005653731,0.13745109297480002,2.8856857421155087
scale,0.25,0.2569308699035509,inequality,0.9,1.339667762739423,0.6759253941346811,0.9279611519926195,0.13715222385841966,0.13825625373823958,3.2780377281910136
scale,0.25,0.2569308699035509,inequality,1.0,1.339667762739423,0.7382263650417814,0.738226369384729,0.14428571428571618,0.14428571423905412,3.732950702003784
scale,0.25,0.2569308699035509,inequality,1.1,1.339667762739423,0.7878665104959045,0.5989278580807409,0.14984558325299355,0.15527310981170947,4.266684091137289
scale,0.25,0.2569308699035509,inequality,1.2000000000000002,1.339667762739423,0.8282067129354643,0.4974141219660304,0.15430554832902219,0.17076237093521077,4.901666114044308
scale,0.25,0.2569308699035509,inequality,1.3,1.339667762739423,0.8614794826404106,0.42114956211098487,0.15794737279268153,0.19032579273059455,5.669725874430119
scale,0.75,0.9424124161123592,nu,0.95,0.95,0.7382263650417815,0.8176507860869537,0.24797040566295903,0.24662046533547444,3.7329507020037855
