spec,phi,p,source,θStar,θPerm,atBound,nTurning,θPermMovingSi,θLeaded,τAtChoice
none,,,none,0.7382263650417814,0.0,True,0,0.0,0.0,0.18515792181806384
scale,0.5,0.37503226627596936,permanent,0.7382263650417816,0.7382262582766264,False,1,0.8694374430925402,0.7000315881832273,0.1442847638803811
none,,,none,0.7382263650417816,0.0,True,0,0.0,0.0,0.18515792181806381
scale,0.25,0.2402803922617475,permanent,0.7382263650417817,0.7382262414079843,False,1,0.8571287204519069,0.7017168200430886,0.1442846690916961
none,,,none,0.7382263650417815,0.0,True,0,0.0,0.0,0.18515792181806387
scale,0.75,0.8669257729540372,permanent,0.7382263650417814,0.7382262585177505,False,1,0.9443115403962973,0.6754212765625356,0.14428511177887024
none,,,none,0.7382263650417817,0.0,True,0,0.0,0.0,0.18515792181806368
flat,0.5,0.6644418539126951,permanent,0.7176004664471406,0.7176004706942325,False,1,0.7589569858030878,0.7014829576635706,0.14428477973620865
none,,,none,0.7382263650417816,0.0,True,0,0.0,0.0,0.18515792181806387
flat,0.25,0.41727160733580787,permanent,0.718080356720382,0.7180803567488494,False,1,0.757307640276022,0.702155451401232,0.14428430944774412
none,,,none,0.7382263650417816,0.0,True,0,0.0,0.0,0.1851579218180637
flat,0.75,1.6950401204622259,permanent,0.7154874800291653,0.7154874802011537,False,1,0.7677229092696611,0.6979500462437158,0.14428485753068876
