ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R,θ,ω
0.5,CRRA,baseline,Baseline,baseline,0.1442857142857193,0.22731022974357035,0.15911716082049923,39.392710265653776,0.46896083649587794,0.672259612256926,2.442999999999967,,
0.5,CRRA,french,Income distribution,full,0.13941852612810646,0.23331077959635327,0.16331754571744728,41.757177333907315,0.4971092539750867,0.8069604402532552,2.382086110316492,,
0.5,CRRA,french,Income distribution,ee,0.1442857142857193,0.22961612450919716,0.160731287156438,41.60793316788136,0.495332537712873,0.8040762860644198,2.42204065722794,,
0.5,CRRA,french,Leisure preferences,full,0.14413236369885418,0.2273770759464689,0.1591639531625282,32.76543520336009,0.3900647048019056,0.5591612919420111,2.4432194414981394,,
0.5,CRRA,french,Leisure preferences,ee,0.1442857142857193,0.22731022973338413,0.15911716081336888,32.76416968342089,0.39004963908834367,0.5591396951049848,2.442999999810108,,
0.5,CRRA,french,Voting,full,0.147548977124498,0.22485154895060924,0.15739608426542645,39.29937205995764,0.46784966738044775,0.670666741252446,2.4706446822067556,,
0.5,CRRA,french,Voting,ee,0.1442857142857193,0.22731022973338325,0.15911716081336827,39.39271026601181,0.4689608365001403,0.6722596122630361,2.442999999810153,,
0.5,CRRA,french,All French characteristics,full,0.14403417883486205,0.2298194403563172,0.16087360824942204,34.616014452785656,0.41209541015220996,0.6689569565314085,2.418419885602714,,
0.5,CRRA,french,All French characteristics,ee,0.1442857142857193,0.22961612450919686,0.16073128715643778,34.60664100751437,0.4119838215180279,0.6687758140307475,2.422040657227963,,
0.5,CRRA,french,France (own calibration),full,0.21285714285714305,0.20931834788977338,0.14652284352284137,35.441714849021615,0.4219251767740665,0.6849279563216865,1.9442320071696448,1.0,2.272144903438622
1.0,LOG,baseline,Baseline,baseline,0.14428571428571396,0.219624212794553,0.15373694895618709,39.392710265653776,0.4689608364958987,0.671430973962159,2.4429999999958376,,
1.0,LOG,french,Income distribution,full,0.13793746065086454,0.22435673953756954,0.15704971767629866,41.615639998902246,0.49542428570123875,0.7943209773513545,2.3927723476142844,,
1.0,LOG,french,Income distribution,ee,0.14428571428571396,0.22109187679740847,0.15476431375818592,41.46368056425862,0.4936152448126241,0.7914205157305055,2.428588985344844,,
1.0,LOG,french,Leisure preferences,full,0.1442857142857138,0.21962421279455308,0.15373694895618714,33.242905639102226,0.3957488766559961,0.5666103286641712,2.442999999995838,,
1.0,LOG,french,Leisure preferences,ee,0.14428571428571396,0.21962421279455288,0.153736948956187,33.242905639102226,0.3957488766559961,0.5666103286641712,2.442999999995839,,
1.0,LOG,french,Voting,full,0.15323173984491764,0.21511204168616754,0.15057842918031727,39.194185338444264,0.46659744450530916,0.6680472061448867,2.4954169011224896,,
1.0,LOG,french,Voting,ee,0.14428571428571396,0.219624212794553,0.15373694895618709,39.392710265653776,0.4689608364958987,0.671430973962159,2.4429999999958376,,
1.0,LOG,french,All French characteristics,full,0.14854220799853393,0.21895870803488443,0.1532710956244191,34.903825427129746,0.41552173127537223,0.6662120473771423,2.4530406939526688,,
1.0,LOG,french,All French characteristics,ee,0.14428571428571396,0.22109187679740847,0.15476431375818592,34.99056579636563,0.41655435471865654,0.6678676675927411,2.4285889853448417,,
1.0,LOG,french,France (own calibration),full,0.21285714285714272,0.19193602100310833,0.13435521470217582,35.44171484902005,0.4219251767740666,0.6764928895407469,2.086536411001458,1.0,1.4180571029150606
2.0,CRRA,baseline,Baseline,baseline,0.14428571428506248,0.21217981424658194,0.14852586997260736,39.392710265653776,0.4689608364958785,0.6704034168142571,2.4429999999929772,,
2.0,CRRA,french,Income distribution,full,0.13531942235580868,0.21563850975554258,0.1509469568288798,41.51033666172071,0.49417067454429436,0.7835542927853124,2.403711781439927,,
2.0,CRRA,french,Income distribution,ee,0.14428571428506248,0.21296988804541625,0.14907892163179137,41.344947484170945,0.4922017557639401,0.7804323860393995,2.434282234029532,,
2.0,CRRA,french,Leisure preferences,full,0.14428881778400407,0.2121783314043986,0.148524831983079,33.65958920713411,0.4007093953230253,0.5728345031568367,2.4429907986420125,,
2.0,CRRA,french,Leisure preferences,ee,0.14428571428506248,0.21217981437063493,0.14852587005944445,33.65959438867851,0.40070945700807764,0.5728345913387628,2.443000000130156,,
2.0,CRRA,french,Voting,full,0.16118945551931851,0.20727676184742438,0.14509373329319705,39.10512364860674,0.4655371862929376,0.6655091343595033,2.5040349102356436,,
2.0,CRRA,french,Voting,ee,0.14428571428506248,0.21217981437063493,0.14852587005944445,39.3927102657404,0.4689608364969097,0.6704034168157312,2.443000000130157,,
2.0,CRRA,french,All French characteristics,full,0.15563638485205675,0.20974001351950994,0.14681800946365695,35.14390741418909,0.4183798501689179,0.6633807801667668,2.475168865972909,,
2.0,CRRA,french,All French characteristics,ee,0.14428571428506248,0.21296988804541614,0.1490789216317913,35.32770791728747,0.4205679513962796,0.6668502213903464,2.43428223402953,,
2.0,CRRA,french,France (own calibration),full,0.21285714285714175,0.1782130198538734,0.12474911389771137,35.44171484902158,0.4219251767740666,0.669016179242363,2.2231942808714713,1.0,1.1679577401804186
