ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R
0.5,CRRA,baseline,Baseline,baseline,0.14428571428572068,0.22731022974356904,0.15911716082049832,39.392710265653776,0.375973940682802,0.6722596122569253,2.4429999999999814
0.5,CRRA,theta,$\theta = 0$,full,0.1961598984513021,0.2047220527103285,0.14330543689722994,37.79819363471066,0.3607554726673467,0.6450482544999637,2.3733516768169083
0.5,CRRA,theta,$\theta = 0$,ee,0.14428571428572068,0.23610294022392125,0.16527205815674487,38.45439925322525,0.3670184642367853,0.6562467867077886,2.4021193709686943
0.5,CRRA,theta,$\theta = 1$,full,0.11449700986502727,0.24441747724897042,0.1710922340742793,39.948114332221564,0.38127485687187695,0.6817379070967278,2.4670602883627857
0.5,CRRA,theta,$\theta = 1$,ee,0.14428571428572068,0.2243829915981825,0.15706809411872774,39.69618097593529,0.3788703415157711,0.6774385172027741,2.4561589717039194
0.5,CRRA,ageing,Mild ageing,full,0.18617692771665947,0.2137093226472236,0.1495965258530565,39.35706700374272,0.3756337524208338,0.6716513391711105,2.220430755052706
0.5,CRRA,ageing,Mild ageing,ee,0.14428571428572068,0.23330797040285714,0.163315579282,39.86035263459214,0.38043723714284006,0.680240202459969,2.2402687523846434
0.5,CRRA,ageing,Acute ageing,full,0.2346735038692212,0.19838245410506872,0.1388677178735481,39.27042013355768,0.37480677288549313,0.6701726597159257,1.9864620485333964
0.5,CRRA,ageing,Acute ageing,ee,0.14428571428572068,0.23997548405241195,0.16798283883668835,40.40723181687791,0.38565678969088196,0.6895730151696181,2.0265426974881917
0.5,CRRA,french,Income distribution,full,0.13465909223622535,0.23643418133146654,0.16550392693202656,40.28812427561872,0.3845199973414786,0.6678194985917251,2.431693977174517
0.5,CRRA,french,Income distribution,ee,0.14428571428572068,0.23015119704929252,0.16110583793450475,40.185501023498254,0.3835405351961929,0.666118406520372,2.42735645434697
0.5,CRRA,french,Leisure preferences,full,0.14184722297403307,0.2312803097352241,0.16189621681465685,34.78190288918578,0.3319672346864525,0.5935734909366993,2.23913201979559
0.5,CRRA,french,Leisure preferences,ee,0.14428571428572068,0.2301229230299497,0.16108604612096478,34.75700807727242,0.3317296323363094,0.59314864642889,2.238010053295269
0.5,CRRA,french,Voting,full,0.14700892934023269,0.22546121624972515,0.1578228513748076,39.367316202911674,0.3757315733571037,0.6718262477420822,2.4418974968534664
0.5,CRRA,french,Voting,ee,0.14428571428572068,0.2273102297460392,0.15911716082222743,39.39271026565067,0.37597394068277235,0.6722596122568724,2.442999999999847
1.0,LOG,baseline,Baseline,baseline,0.14428571428571396,0.21962421279455296,0.15373694895618706,39.392710265653776,0.37551050899747734,0.671430973962159,2.442999999995838
1.0,LOG,theta,$\theta = 0$,full,0.1851579218398406,0.20640978240680535,0.14448684768476375,37.98283350508087,0.3620708767300817,0.6474002606617988,2.381461229698181
1.0,LOG,theta,$\theta = 0$,ee,0.14428571428571396,0.22551443135020025,0.15786010194514016,38.49793650816315,0.366981089547863,0.6561799589541482,2.404022787826835
1.0,LOG,theta,$\theta = 1$,full,0.12279733669126332,0.22884062461614668,0.16018843723130266,39.86148048384825,0.3799790551332974,0.6794209508397133,2.4633139197085874
1.0,LOG,theta,$\theta = 1$,ee,0.14428571428571396,0.21760877303021078,0.15232614112114753,39.68692392020083,0.37831509691305676,0.6764457129657288,2.4557580183400547
1.0,LOG,ageing,Mild ageing,full,0.18452321641782546,0.20535658701549178,0.14374961091084423,39.366762827074716,0.375263165369626,0.6709887115780917,2.220813651370673
1.0,LOG,ageing,Mild ageing,ee,0.14428571428571396,0.219624212794553,0.15373694895618709,39.836110455469765,0.3797372156608305,0.6789885301520089,2.239314928243186
1.0,LOG,ageing,Acute ageing,full,0.23105819038529316,0.1898625636875254,0.13290379458126778,39.29594593820219,0.3745881042782005,0.6697816696571881,1.9873658017797045
1.0,LOG,ageing,Acute ageing,ee,0.14428571428571396,0.21962421279455296,0.15373694895618706,40.3554190580365,0.3846875183021451,0.6878399109901617,2.0247233527964004
